~	〜
/	・
,	、
.	。
[	「
]	」
-	ー
:	ー
la	ぁ
a	あ
li	ぃ
lyi	ぃ
i	い
ye	いぇ
yw	いぇい
yd	いぇん
lu	ぅ
u	う
vu	ゔ
va	ゔぁ
vq	ゔぁい
vn	ゔぁん
vz	ゔぁん
wi	うぃ
vi	ゔぃ
wk	うぃん
vk	ゔぃん
vh	ゔー
we	うぇ
ve	ゔぇ
ww	うぇい
vw	ゔぇい
wd	うぇん
vd	ゔぇん
who	うぉ
wso	うぉ
vo	ゔぉ
vp	ゔぉう
wp	うぉー
wl	うぉん
vl	ゔぉん
vyu	ゔゅ
vv	ゔゅー
vj	ゔん
le	ぇ
lye	ぇ
e	え
lo	ぉ
o	お
lka	ヵ
ka	か
ga	が
kq	かい
gq	がい
km	かも
kr	から
gr	がら
kn	かん
kz	かん
gn	がん
gz	がん
kf	き
gi	ぎ
kge	きぇ
gye	ぎぇ
kgw	きぇい
gyw	ぎぇい
kgd	きぇん
gyd	ぎぇん
kga	きゃ
gya	ぎゃ
kgq	きゃい
gyq	ぎゃい
kgn	きゃん
kgz	きゃん
gyn	ぎゃん
gyz	ぎゃん
kgu	きゅ
gyu	ぎゅ
kgh	きゅう
kv	きゅう
gv	ぎゅう
gyh	ぎゅう
kgj	きゅん
gyj	ぎゅん
kgo	きょ
gyo	ぎょ
kgp	きょう
kx	きょう
gx	ぎょう
gyp	ぎょう
kgl	きょん
gyl	ぎょん
kk	きん
gk	ぎん
ku	く
gu	ぐ
kh	くう
gh	ぐう
kj	くん
gj	ぐん
lke	ヶ
ke	け
ge	げ
kw	けい
gw	げい
kd	けん
gd	げん
ko	こ
go	ご
kp	こう
gp	ごう
kt	こと
gt	ごと
kl	こん
gl	ごん
sa	さ
zc	ざ
sf	さい
zv	ざい
zr	ざる
sn	さん
zn	ざん
zz	ざん
si	し
xi	し
ji	じ
zi	じ
xe	しぇ
je	じぇ
xw	しぇい
jw	じぇい
xd	しぇん
jd	じぇん
st	した
xa	しゃ
ja	じゃ
xq	しゃい
jq	じゃい
xn	しゃん
xz	しゃん
jz	じゃん
xu	しゅ
jf	じゅ
sv	しゅう
xh	しゅう
jh	じゅう
xj	しゅん
jj	じゅん
xo	しょ
jo	じょ
sx	しょう
xp	しょう
jp	じょう
xl	しょん
jl	じょん
sk	しん
xk	しん
jk	じん
zk	じん
su	す
zu	ず
syi	すぃ
syk	すぃん
sh	すう
zh	ずう
sr	する
sj	すん
zj	ずん
se	せ
zf	ぜ
ss	せい
zx	ぜい
sd	せん
zd	ぜん
so	そ
zo	ぞ
sp	そう
zp	ぞう
sl	そん
zl	ぞん
ta	た
da	だ
tq	たい
dq	だい
tt	たち
dt	だち
tb	たび
tm	ため
tr	たら
tn	たん
dn	だん
dz	だん
ci	ち
ti	ち
di	ぢ
cf	ちぇ
dge	ぢぇ
cw	ちぇい
cd	ちぇん
ca	ちゃ
dga	ぢゃ
cq	ちゃい
dgq	ぢゃい
cn	ちゃん
cz	ちゃん
dgz	ぢゃん
cu	ちゅ
dgu	ぢゅ
ch	ちゅう
dv	ぢゅう
cj	ちゅん
dgj	ぢゅん
co	ちょ
dgo	ぢょ
cp	ちょう
